campaign_name,campaign_normalized
Men ComfortMax Launch,Men ComfortMax Launch
Mencomfortmax Launch,Mencomfortmax Launch
Men Omfortmax Launch,Men Omfortmax Launch
Women Seamless Everyday,Women Seamless Everyday
Women Cotton Classics,Women Cotton Classics
M N Athleisure Cooling,M N Athleisure Cooling
Men Athleiure Cooling,Men Athleiure Cooling
Men Ath Eisure Cooling,Men Ath Eisure Cooling
Men Thleisure Cooling,Men Thleisure Cooling
Men Athleisure Coling,Men Athleisure Coling
Mn Athleisure Cooling,Mn Athleisure Cooling
Men Athleisurecooling,Men Athleisurecooling
Men Athleisure Cooli G,Men Athleisure Cooli G
Me Athleisure Cooling,Me Athleisure Cooling
Men Athleisure Co Ling,Men Athleisure Co Ling
Men Athlei Ure Cooling,Men Athlei Ure Cooling
Women Summer Invi Ible,Women Summer Invi Ible
Women Summer Nvisible,Women Summer Nvisible
Women Summer Invisible,Women Summer Invisible
Women Ummer Invisible,Women Ummer Invisible
Omen Summer Invisible,Omen Summer Invisible
Women Summer Invisi Le,Women Summer Invisi Le
Women Summ R Invisible,Women Summ R Invisible
Women S Mmer Invisible,Women S Mmer Invisible
Women Summer Invisble,Women Summer Invisble
Women Summer Invsible,Women Summer Invsible
Women Su Mer Invisible,Women Su Mer Invisible
Women Summer In Isible,Women Summer In Isible
Women Summer Invisib E,Women Summer Invisib E
Women Summer Invisibe,Women Summer Invisibe
Women Summer Inisible,Women Summer Inisible
Wome Summer Invisible,Wome Summer Invisible
Women Summe Invisible,Women Summe Invisible
Womn Summer Invisible,Womn Summer Invisible
Women Summer Inv Sible,Women Summer Inv Sible
Woen Summer Invisible,Woen Summer Invisible
Wom N Summer Invisible,Wom N Summer Invisible
Women Summer I Visible,Women Summer I Visible
W Men Summer Invisible,W Men Summer Invisible
Men Signature Soft,Men Signature Soft
Women Fit Lift,Women Fit Lift
Men Bold Colors Drop,Men Bold Colors Drop
Men Premium Modal,Men Premium Modal
Women Studio Sports,Women Studio Sports
